id,building,building_category,footprint_area_m2,floor_count_est,floor_area_m2,height_proxy_m,height_proxy_source,solar_potential_score,solar_potential_class,is_high_potential,ghs_age_epoch,ghs_age_epoch_label,ghsl_height_m,era,typology,era_source,grid_id
403599148,yes,residential,981.3489991204119,3,2944.0469973612358,9.0,building_type_default,46.10260601024625,high,1,1.0,pre-1980,8.87177848815918,era1,midrise,ghs_age,1451
403599149,yes,residential,1450.1882085735765,3,4350.56462572073,9.0,building_type_default,48.345492828987226,high,1,1.0,pre-1980,10.650674819946289,era1,midrise,ghs_age,1451
403599150,yes,residential,977.4619890073529,3,2932.385967022059,9.0,building_type_default,46.079816223256174,high,1,1.0,pre-1980,12.368473052978516,era1,midrise,ghs_age,1451
403599151,yes,residential,874.7574962765725,3,2624.2724888297175,9.0,building_type_default,45.44238579482418,medium,0,1.0,pre-1980,13.30704116821289,era1,midrise,ghs_age,1451
403599152,yes,residential,1014.9802504843497,3,3044.940751453049,9.0,building_type_default,46.29610412955303,high,1,2.0,1980-1989,11.263090133666992,era1,midrise,ghs_age,1451
403599154,yes,residential,752.3698269985648,3,2257.1094809956944,9.0,building_type_default,44.57709633813634,medium,0,1.0,pre-1980,9.449532508850098,era1,midrise,ghs_age,1451
403599155,yes,residential,897.9179464734916,3,2693.753839420475,9.0,building_type_default,45.59242766662023,high,1,1.0,pre-1980,13.30704116821289,era1,midrise,ghs_age,1451
403599156,yes,residential,848.096413445548,3,2544.289240336644,9.0,building_type_default,45.2646725421188,medium,0,1.0,pre-1980,9.449532508850098,era1,midrise,ghs_age,1451
403599157,yes,residential,933.163287436111,3,2799.4898623083327,9.0,building_type_default,45.81349943762352,high,1,1.0,pre-1980,14.229933738708496,era1,midrise,ghs_age,1451
403599158,yes,residential,791.9709286492405,3,2375.912785947721,9.0,building_type_default,44.87157700955448,medium,0,1.0,pre-1980,8.973113059997559,era1,midrise,ghs_age,1451
403599159,yes,residential,890.4592524330217,3,2671.377757299065,9.0,building_type_default,45.54453373109804,high,1,1.0,pre-1980,11.632930755615234,era1,midrise,ghs_age,1451
403599160,yes,residential,1805.0954532966155,3,5415.286359889847,9.0,building_type_default,49.60310454765789,high,1,1.0,pre-1980,16.368730545043945,era1,midrise,ghs_age,1451
403599161,yes,residential,770.0931459368172,3,2310.279437810452,9.0,building_type_default,44.710758197678395,medium,0,3.0,1990-1999,9.752341270446777,era1,midrise,ghs_age,1451
403599162,yes,residential,1497.917079584389,3,4493.751238753167,9.0,building_type_default,48.53150497386739,high,1,1.0,pre-1980,10.650674819946289,era1,midrise,ghs_age,1451
403599163,yes,residential,799.2748292194879,3,2397.8244876584636,9.0,building_type_default,44.92427995437633,medium,0,1.0,pre-1980,8.973113059997559,era1,midrise,ghs_age,1451
403599164,yes,residential,728.7267950161744,3,2186.180385048523,9.0,building_type_default,44.3938099231811,medium,0,1.0,pre-1980,10.214056015014648,era1,midrise,ghs_age,1533
403599166,yes,residential,954.731095309551,3,2864.193285928653,9.0,building_type_default,45.94470344060511,high,1,1.0,pre-1980,14.229933738708496,era1,midrise,ghs_age,1451
403599167,yes,residential,791.7032931639535,3,2375.1098794918607,9.0,building_type_default,44.86963661748094,medium,0,1.0,pre-1980,8.973113059997559,era1,midrise,ghs_age,1451
403599168,yes,residential,854.1646261217965,3,2562.4938783653893,9.0,building_type_default,45.30560673874134,medium,0,1.0,pre-1980,13.30704116821289,era1,midrise,ghs_age,1451
403599169,yes,residential,972.1656720748422,3,2916.4970162245263,9.0,building_type_default,46.048617427913655,high,1,2.0,1980-1989,11.263090133666992,era1,midrise,ghs_age,1451
403599170,yes,residential,781.8875264034878,3,2345.6625792104633,9.0,building_type_default,44.79801466341003,medium,0,1.0,pre-1980,16.368730545043945,era1,midrise,ghs_age,1451
403599171,yes,residential,537.188005654124,3,1611.564016962372,9.0,building_type_default,42.643708460601744,medium,0,2.0,1980-1989,11.263090133666992,era1,midrise,ghs_age,1451
403599173,yes,residential,805.007687018985,3,2415.023061056955,9.0,building_type_default,44.965310835153474,medium,0,1.0,pre-1980,9.449532508850098,era1,midrise,ghs_age,1451
403599174,yes,residential,1597.6383723609354,3,4792.915117082806,9.0,building_type_default,48.90174099836803,high,1,1.0,pre-1980,10.613346099853516,era1,midrise,ghs_age,1451
403599175,yes,residential,944.2243647047624,3,2832.673094114287,9.0,building_type_default,45.88116159330309,high,1,1.0,pre-1980,8.87177848815918,era1,midrise,ghs_age,1451
403599176,yes,residential,722.0752486207846,3,2166.2257458623535,9.0,building_type_default,44.34117439616603,medium,0,1.0,pre-1980,10.214056015014648,era1,midrise,ghs_age,1533
403599178,yes,residential,820.5145879934469,3,2461.5437639803404,9.0,building_type_default,45.07485039039531,medium,0,1.0,pre-1980,10.132216453552246,era1,midrise,ghs_age,1451
403599179,yes,residential,422.5244960049967,3,1267.57348801499,9.0,building_type_default,41.26646598063912,low,0,3.0,1990-1999,9.752341270446777,era1,midrise,ghs_age,1451
403599180,yes,residential,831.6259398868922,3,2494.8778196606763,9.0,building_type_default,45.152075901296456,medium,0,1.0,pre-1980,15.424432754516602,era1,midrise,ghs_age,1451
403599181,yes,residential,807.2985223545652,3,2421.8955670636956,9.0,building_type_default,44.981625118698204,medium,0,3.0,1990-1999,9.752341270446777,era1,midrise,ghs_age,1451
403599182,yes,residential,483.7173357183891,3,1451.1520071551672,9.0,building_type_default,42.04220798265515,medium,0,1.0,pre-1980,8.556846618652344,era1,midrise,ghs_age,1451
403599183,yes,residential,1495.694350040491,3,4487.083050121473,9.0,building_type_default,48.52297473915071,high,1,1.0,pre-1980,11.632930755615234,era1,midrise,ghs_age,1451
403599185,yes,residential,968.774502410686,3,2906.3235072320576,9.0,building_type_default,46.028551913885835,high,1,1.0,pre-1980,8.973113059997559,era1,midrise,ghs_age,1451
403599186,yes,residential,847.059107053295,3,2541.1773211598847,9.0,building_type_default,45.2576459422116,medium,0,1.0,pre-1980,10.132216453552246,era1,midrise,ghs_age,1451
403599187,yes,residential,828.5882404708352,3,2485.7647214125054,9.0,building_type_default,45.13106628810245,medium,0,1.0,pre-1980,11.367657661437988,era1,midrise,ghs_age,1492
403599189,yes,residential,1519.609538493777,3,4558.828615481331,9.0,building_type_default,48.614096815696186,high,1,1.0,pre-1980,10.613346099853516,era1,midrise,ghs_age,1451
403599190,yes,residential,941.1643495564695,3,2823.4930486694084,9.0,building_type_default,45.86252260389171,high,1,1.0,pre-1980,8.87177848815918,era1,midrise,ghs_age,1451
403599192,yes,residential,764.0573711181517,3,2292.172113354455,9.0,building_type_default,44.665587036901144,medium,0,1.0,pre-1980,8.556846618652344,era1,midrise,ghs_age,1451
403599193,yes,residential,867.8213161536609,3,2603.4639484609825,9.0,building_type_default,45.39667783723375,medium,0,1.0,pre-1980,8.556846618652344,era1,midrise,ghs_age,1451
403599195,yes,residential,1401.464403077542,3,4204.393209232627,9.0,building_type_default,48.149182991131426,high,1,1.0,pre-1980,10.650674819946289,era1,midrise,ghs_age,1451
403599196,yes,residential,806.2722584063713,3,2418.816775219114,9.0,building_type_default,44.97432225996402,medium,0,1.0,pre-1980,9.449532508850098,era1,midrise,ghs_age,1451
403599197,yes,residential,1816.938416794919,3,5450.815250384757,9.0,building_type_default,49.64067353139233,high,1,1.0,pre-1980,12.368473052978516,era1,midrise,ghs_age,1451
403599198,yes,residential,785.5530323183559,3,2356.659096955068,9.0,building_type_default,44.824864991759966,medium,0,1.0,pre-1980,11.367657661437988,era1,midrise,ghs_age,1492
403599200,yes,residential,821.2518362764855,3,2463.7555088294566,9.0,building_type_default,45.08000663429599,medium,0,1.0,pre-1980,16.368730545043945,era1,midrise,ghs_age,1451
403599201,yes,residential,819.7745146783105,3,2459.3235440349317,9.0,building_type_default,45.069669732413445,medium,0,1.0,pre-1980,15.424432754516602,era1,midrise,ghs_age,1451
403599202,yes,residential,777.6706259970961,3,2333.011877991288,9.0,building_type_default,44.7669693537333,medium,0,1.0,pre-1980,9.449532508850098,era1,midrise,ghs_age,1451
403599203,yes,residential,903.3360912239145,3,2710.0082736717436,9.0,building_type_default,45.62697024530421,high,1,1.0,pre-1980,13.30704116821289,era1,midrise,ghs_age,1451
403599204,yes,residential,883.2501253389908,3,2649.750376016972,9.0,building_type_default,45.497859955014604,medium,0,1.0,pre-1980,9.449532508850098,era1,midrise,ghs_age,1451
403599205,yes,residential,427.4442730848549,3,1282.3328192545646,9.0,building_type_default,41.332853483906895,low,0,3.0,1990-1999,9.752341270446777,era1,midrise,ghs_age,1451
403599206,yes,residential,1446.3854586278826,3,4339.156375883647,9.0,building_type_default,48.33041032551259,high,1,1.0,pre-1980,9.431961059570312,era1,midrise,ghs_age,1451
403599208,yes,residential,838.6653059093734,3,2515.9959177281203,9.0,building_type_default,45.20046905830067,medium,0,1.0,pre-1980,11.632930755615234,era1,midrise,ghs_age,1451
403599209,yes,residential,783.1997262698615,3,2349.5991788095844,9.0,building_type_default,44.80764112475594,medium,0,1.0,pre-1980,9.449532508850098,era1,midrise,ghs_age,1451
403599210,yes,residential,993.8172900594575,3,2981.4518701783727,9.0,building_type_default,46.175104547812545,high,1,2.0,1980-1989,11.263090133666992,era1,midrise,ghs_age,1451
403599211,yes,residential,786.9573914803044,3,2360.872174440913,9.0,building_type_default,44.835118973162245,medium,0,1.0,pre-1980,8.973113059997559,era1,midrise,ghs_age,1451
403797198,yes,residential,474.8156614098894,3,1424.4469842296683,9.0,building_type_default,41.93566334326903,medium,0,1.0,pre-1980,18.881532669067383,era1,midrise,ghs_age,1410
403797200,yes,residential,874.0088045786899,3,2622.02641373607,9.0,building_type_default,45.43746953730459,medium,0,3.0,1990-1999,9.107645988464355,era1,midrise,ghs_age,1617
403797202,yes,residential,746.0694728417016,3,2238.2084185251047,9.0,building_type_default,44.528822832006995,medium,0,1.0,pre-1980,20.22137451171875,era1,midrise,ghs_age,1580
403797203,yes,residential,352.4541308367297,3,1057.362392510189,9.0,building_type_default,40.22686517098283,low,0,1.0,pre-1980,23.376148223876953,era1,midrise,ghs_age,1410
403797205,yes,residential,1016.111569871021,3,3048.334709613063,9.0,building_type_default,46.30250130172902,high,1,1.0,pre-1980,16.37159538269043,era1,midrise,ghs_age,1580
403797206,yes,residential,815.8848226814665,3,2447.6544680443994,9.0,building_type_default,45.04236410105278,medium,0,3.0,1990-1999,9.658141136169434,era1,midrise,ghs_age,1618
403797208,yes,residential,465.43834152061237,3,1396.3150245618372,9.0,building_type_default,41.82124785000481,medium,0,1.0,pre-1980,14.841667175292969,era1,midrise,ghs_age,1249
403797209,yes,residential,828.8459468783665,3,2486.537840635099,9.0,building_type_default,45.132851644588904,medium,0,3.0,1990-1999,9.779434204101562,era1,midrise,ghs_age,1618
403797211,yes,residential,726.5104919881868,3,2179.5314759645603,9.0,building_type_default,44.37632519206764,medium,0,2.0,1980-1989,7.003433704376221,era1,midrise,ghs_age,1574
403797212,yes,residential,540.653228841389,3,1621.959686524167,9.0,building_type_default,42.68060049065494,medium,0,3.0,1990-1999,9.943612098693848,era1,midrise,ghs_age,1618
403797214,yes,residential,1000.977801798879,3,3002.9334053966368,9.0,building_type_default,46.216330641007794,high,1,3.0,1990-1999,8.417001724243164,era1,midrise,ghs_age,1575
403797216,yes,residential,880.4122944636109,3,2641.2368833908326,9.0,building_type_default,45.47938263552091,medium,0,1.0,pre-1980,11.104202270507812,era1,midrise,ghs_age,1410
403797219,yes,residential,397.4672425207958,3,1192.4017275623874,9.0,building_type_default,40.91590760407297,low,0,1.0,pre-1980,30.162799835205078,era1,midrise,ghs_age,1410
403797220,yes,residential,689.765696018014,3,2069.297088054042,9.0,building_type_default,44.07841045592632,medium,0,1.0,pre-1980,10.89421558380127,era1,midrise,ghs_age,1580
403797222,yes,residential,822.8684613788703,3,2468.605384136611,9.0,building_type_default,45.0912969905592,medium,0,3.0,1990-1999,9.170821189880371,era1,midrise,ghs_age,1618
403797224,yes,residential,724.3516757483744,3,2173.0550272451233,9.0,building_type_default,44.35924269560061,medium,0,3.0,1990-1999,13.522665023803711,era1,midrise,ghs_age,1574
403797225,yes,residential,918.7339242953358,3,2756.2017728860073,9.0,building_type_default,45.72401860006208,high,1,1.0,pre-1980,18.881532669067383,era1,midrise,ghs_age,1410
403797227,yes,residential,1028.9921990091796,3,3086.9765970275384,9.0,building_type_default,46.37483867061657,high,1,1.0,pre-1980,15.021100997924805,era1,midrise,ghs_age,1580
403797229,yes,residential,580.3691042736712,3,1741.1073128210135,9.0,building_type_default,43.08734028083699,medium,0,1.0,pre-1980,17.144285202026367,era1,midrise,ghs_age,1249
403797230,yes,residential,856.6673674223357,3,2570.002102267007,9.0,building_type_default,45.3224048812607,medium,0,3.0,1990-1999,9.658141136169434,era1,midrise,ghs_age,1618
403797232,yes,residential,836.1316055442045,3,2508.3948166326136,9.0,building_type_default,45.18309765601811,medium,0,3.0,1990-1999,5.777059555053711,era1,midrise,ghs_age,1574
403797233,yes,residential,833.8590728816113,3,2501.577218644834,9.0,building_type_default,45.16747207021458,medium,0,3.0,1990-1999,9.107645988464355,era1,midrise,ghs_age,1617
403797235,yes,residential,976.2194335284,3,2928.6583005852,9.0,building_type_default,46.072511941871106,high,1,1.0,pre-1980,15.021100997924805,era1,midrise,ghs_age,1580
403797236,yes,residential,733.4899195362113,3,2200.469758608634,9.0,building_type_default,44.431207879108186,medium,0,1.0,pre-1980,12.443848609924316,era1,midrise,ghs_age,1410
403797238,yes,residential,1189.1088256617033,3,3567.3264769851103,9.0,building_type_default,47.205412318410254,high,1,1.0,pre-1980,6.525121688842773,era1,midrise,ghs_age,1616
403797239,yes,residential,565.261417691313,3,1695.784253073939,9.0,building_type_default,42.93599087364932,medium,0,3.0,1990-1999,10.170394897460938,era1,midrise,ghs_age,1617
403797241,yes,residential,320.55653160015004,3,961.6695948004501,9.0,building_type_default,39.68320101549232,low,0,1.0,pre-1980,11.104202270507812,era1,midrise,ghs_age,1410
403797245,yes,residential,678.9267862348089,3,2036.7803587044268,9.0,building_type_default,43.98749988574949,medium,0,1.0,pre-1980,30.162799835205078,era1,midrise,ghs_age,1410
403797247,yes,residential,641.8394816259223,3,1925.5184448777668,9.0,building_type_default,43.66508449978458,medium,0,1.0,pre-1980,10.89421558380127,era1,midrise,ghs_age,1580
403797248,yes,residential,5931.766395522609,3,17795.299186567827,9.0,building_type_default,56.43953959815631,high,1,3.0,1990-1999,20.9785213470459,era1,midrise,ghs_age,1375
403797250,yes,residential,1206.6724017966694,3,3620.0172053900083,9.0,building_type_default,47.289623724308136,high,1,1.0,pre-1980,9.897818565368652,era1,midrise,ghs_age,1492
403797251,yes,residential,871.3686927860276,3,2614.106078358083,9.0,building_type_default,45.420099703329875,medium,0,3.0,1990-1999,9.658141136169434,era1,midrise,ghs_age,1618
403797253,yes,residential,474.87010598211094,3,1424.6103179463328,9.0,building_type_default,41.936321032566084,medium,0,1.0,pre-1980,17.144285202026367,era1,midrise,ghs_age,1249
403797254,yes,residential,400.64842374670945,3,1201.9452712401285,9.0,building_type_default,40.96161617924833,low,0,2.0,1980-1989,7.003433704376221,era1,midrise,ghs_age,1574
403797256,yes,residential,448.2777772233435,3,1344.8333316700305,9.0,building_type_default,41.60578057853879,low,0,3.0,1990-1999,7.799661636352539,era1,midrise,ghs_age,1574
403797257,yes,residential,1039.583709628748,3,3118.7511288862443,9.0,building_type_default,46.43364584272818,high,1,1.0,pre-1980,20.22137451171875,era1,midrise,ghs_age,1580
403797259,yes,residential,453.6963796437061,3,1361.0891389311182,9.0,building_type_default,41.67469279709755,low,0,1.0,pre-1980,13.30704116821289,era1,midrise,ghs_age,1410
403797260,yes,residential,988.0590203152127,3,2964.177060945638,9.0,building_type_default,46.14173591661396,high,1,3.0,1990-1999,6.845353126525879,era1,midrise,ghs_age,1575
403797262,yes,residential,906.7369909686696,3,2720.210972906009,9.0,building_type_default,45.64854661569668,high,1,1.0,pre-1980,11.104202270507812,era1,midrise,ghs_age,1410
403797264,yes,residential,868.8710024097802,3,2606.613007229341,9.0,building_type_default,45.403618430374614,medium,0,1.0,pre-1980,10.89421558380127,era1,midrise,ghs_age,1580
403797268,yes,residential,581.4415393848743,3,1744.3246181546228,9.0,building_type_default,43.09793400305415,medium,0,1.0,pre-1980,16.41876792907715,era1,midrise,ghs_age,1249
403797270,yes,residential,865.9474864910156,3,2597.842459473047,9.0,building_type_default,45.384267083491295,medium,0,2.0,1980-1989,7.003433704376221,era1,midrise,ghs_age,1574
403797272,yes,residential,423.1914533025058,3,1269.5743599075174,9.0,building_type_default,41.275510958800396,low,0,2.0,1980-1989,13.822627067565918,era1,midrise,ghs_age,1498
403797273,yes,residential,709.5352221548732,3,2128.6056664646194,9.0,building_type_default,44.24061141857148,medium,0,1.0,pre-1980,12.443848609924316,era1,midrise,ghs_age,1410
403797275,yes,residential,727.744028923107,3,2183.2320867693206,9.0,building_type_default,44.38606330335877,medium,0,3.0,1990-1999,7.799661636352539,era1,midrise,ghs_age,1574
403797277,yes,residential,425.7891194769412,3,1277.3673584308235,9.0,building_type_default,41.31060430663998,low,0,1.0,pre-1980,15.955195426940918,era1,midrise,ghs_age,1328
403797278,yes,residential,952.5070642636003,3,2857.5211927908013,9.0,building_type_default,45.93131158696055,high,1,1.0,pre-1980,14.140536308288574,era1,midrise,ghs_age,1457
403797280,yes,residential,741.2591722173122,3,2223.777516651937,9.0,building_type_default,44.49169129343095,medium,0,3.0,1990-1999,5.777059555053711,era1,midrise,ghs_age,1574
403797283,yes,residential,414.7430337076399,3,1244.2291011229197,9.0,building_type_default,41.159871921615775,low,0,1.0,pre-1980,18.301660537719727,era1,midrise,ghs_age,1328
403797286,yes,residential,676.0663326592121,3,2028.1989979776363,9.0,building_type_default,43.96326630110252,medium,0,1.0,pre-1980,10.89421558380127,era1,midrise,ghs_age,1580
403797289,yes,residential,598.836680229957,3,1796.510040689871,9.0,building_type_default,43.26709465903825,medium,0,1.0,pre-1980,22.65494155883789,era1,midrise,ghs_age,1328
403797291,yes,residential,1198.3878033423184,3,3595.1634100269553,9.0,building_type_default,47.25005555257675,high,1,1.0,pre-1980,9.897818565368652,era1,midrise,ghs_age,1492
403797292,yes,residential,792.9399855361902,3,2378.8199566085705,9.0,building_type_default,44.87859732356067,medium,0,3.0,1990-1999,8.90470027923584,era1,midrise,ghs_age,1617
403797294,yes,residential,967.8838315208899,3,2903.6514945626695,9.0,building_type_default,46.023270189061385,high,1,1.0,pre-1980,20.22137451171875,era1,midrise,ghs_age,1580
403797296,yes,residential,457.1958680604621,3,1371.5876041813863,9.0,building_type_default,41.71876319047841,low,0,1.0,pre-1980,12.443848609924316,era1,midrise,ghs_age,1410
403797297,yes,residential,701.0738017555597,3,2103.221405266679,9.0,building_type_default,44.171748369282916,medium,0,1.0,pre-1980,19.784866333007812,era1,midrise,ghs_age,1166
403797301,yes,residential,453.06216936486766,3,1359.186508094603,9.0,building_type_default,41.666669652930715,low,0,1.0,pre-1980,15.955195426940918,era1,midrise,ghs_age,1328
403797306,yes,residential,2951.982306352532,3,8855.946919057595,9.0,building_type_default,52.429183614264076,high,1,2.0,1980-1989,15.230191230773926,era1,midrise,ghs_age,1410
403797308,yes,residential,1280.7106685345948,3,3842.1320056037844,9.0,building_type_default,47.631644409588226,high,1,1.0,pre-1980,9.897818565368652,era1,midrise,ghs_age,1492
403797309,yes,residential,416.46240846334484,3,1249.3872253900345,9.0,building_type_default,41.18359542493997,low,0,2.0,1980-1989,13.822627067565918,era1,midrise,ghs_age,1498
403797311,yes,residential,108.62365208903705,3,325.8709562671112,9.0,building_type_default,33.49747684051846,low,0,3.0,1990-1999,7.799661636352539,era1,midrise,ghs_age,1574
403797312,yes,residential,931.0528756925535,3,2793.1586270776606,9.0,building_type_default,45.80049878386591,high,1,1.0,pre-1980,25.840776443481445,era1,midrise,ghs_age,1580
403797314,yes,residential,734.9697663967074,3,2204.9092991901225,9.0,building_type_default,44.44277761800991,medium,0,1.0,pre-1980,19.11768341064453,era1,midrise,ghs_age,1166
403797316,yes,residential,675.5068108396417,3,2026.5204325189252,9.0,building_type_default,43.95851409703527,medium,0,3.0,1990-1999,5.777059555053711,era1,midrise,ghs_age,1574
403797317,yes,residential,797.8597693484894,3,2393.579308045468,9.0,building_type_default,44.91410693978629,medium,0,1.0,pre-1980,6.525121688842773,era1,midrise,ghs_age,1574
403797321,yes,residential,525.3584731989961,3,1576.0754195969882,9.0,building_type_default,42.515952671813615,medium,0,1.0,pre-1980,22.65494155883789,era1,midrise,ghs_age,1328
403797322,yes,residential,27.617736885958358,3,82.85321065787508,9.0,building_type_default,25.777529614504815,low,0,1.0,pre-1980,16.37159538269043,era1,midrise,ghs_age,1579
403797324,yes,residential,3012.703417656114,3,9038.110252968343,9.0,building_type_default,52.54618238523936,high,1,3.0,1990-1999,26.380651473999023,era1,midrise,ghs_age,1410
