grid_id,building_count,dominant_era,district,R5_savings_GWh,annual_pv_GWh,co2_avoided_kt,rank_integrated,centroid_lon,centroid_lat,baseline_carbon_kt
1417,15,era1,Furong,3.9556,0.9582,2.8023,490,113.0156,28.2062,inf
770,28,era3,Yuelu,2.4882,0.162,1.5114,491,112.9349,28.248,inf
1002,34,era1,Tianxin,7.0907,0.4273,4.2875,492,112.9643,28.1844,inf
1384,16,era2,Furong,3.5852,1.0042,2.6173,493,113.0112,28.2424,inf
1569,4,era3,Yuhua,0.5638,0.2859,0.4846,494,113.035,28.1518,inf
773,21,era3,Yuelu,1.553,0.5785,1.2156,495,112.9351,28.2615,inf
564,20,era3,Yuelu,1.7784,0.1237,1.0848,496,112.9093,28.2439,inf
667,52,era2,Yuelu,5.5503,1.3961,3.9615,497,112.923,28.1534,inf
1040,4,era1,Tianxin,1.588,0.3548,1.108,498,112.9691,28.1708,inf
693,22,era2,Yuelu,3.0674,0.1371,1.8275,499,112.9251,28.2707,inf
201,73,era3,Yuelu,2.0756,0.4016,1.4127,500,112.864,28.2716,inf
1219,1,era1,Furong,0.7979,0.252,0.5987,501,112.9908,28.2382,inf
1140,22,era3,Kaifu,1.7542,0.7016,1.4005,502,112.9808,28.2519,inf
322,32,era2,Yuelu,3.6964,0.9704,2.6615,503,112.8791,28.2623,inf
1009,1,era1,Yuelu,0.7134,0.2253,0.5353,504,112.9649,28.216,inf
1447,15,era2,Tianxin,2.6759,0.9596,2.0733,505,113.0198,28.1565,inf
895,3,era2,Kaifu,0.5175,0.2991,0.4657,506,112.9503,28.2568,inf
1007,4,era1,Yuelu,2.1156,0.609,1.5539,507,112.9647,28.207,inf
769,10,era3,Yuelu,0.517,0.0924,0.3476,508,112.9348,28.2435,inf
1618,16,era2,Furong,2.5704,0.0,1.4659,508,113.0407,28.1878,inf
930,20,era1,Yuelu,3.6196,1.0589,2.6681,510,112.9549,28.2297,inf
649,32,era3,Yuelu,2.0043,1.3547,1.9156,511,112.9198,28.2572,inf
598,7,era1,Yuelu,3.4169,1.4077,2.7515,511,112.9139,28.2122,inf
1542,1,era1,Furong,0.6267,0.1398,0.4371,513,113.0311,28.215,inf
187,10,era3,Yuelu,0.5416,0.294,0.4766,514,112.8629,28.2084,inf
1498,28,era2,Furong,4.6528,0.0778,2.6978,515,113.0257,28.2016,inf
1108,8,era3,Tianxin,0.4452,0.3501,0.4536,516,112.9782,28.1075,inf
973,7,era2,Kaifu,1.0367,0.3013,0.7631,517,112.9602,28.2386,inf
476,25,era2,Yuelu,4.8664,1.6385,3.7098,518,112.8987,28.2169,inf
1367,35,era2,Tianxin,5.9395,0.1085,3.4492,519,113.0098,28.1657,inf
665,24,era2,Yuelu,4.4671,1.9354,3.6513,520,112.9228,28.1444,inf
280,40,era3,Yuelu,3.1427,1.2143,2.4848,521,112.8739,28.2579,inf
733,9,era3,Yuelu,0.6985,0.4476,0.6536,522,112.9301,28.2661,inf
398,1,era3,Yuelu,0.0525,0.0,0.0299,523,112.8888,28.2351,inf
1041,30,era1,Tianxin,5.5959,0.1041,3.2507,524,112.9692,28.1753,inf
802,1,era3,Yuelu,0.0571,0.0,0.0326,524,112.9392,28.2073,inf
1383,4,era2,Furong,0.3784,0.2947,0.3839,526,113.0111,28.2379,inf
1411,7,era1,Furong,2.0751,0.4739,1.4537,527,113.0151,28.1792,inf
1561,19,era3,Yuhua,1.0682,0.4632,0.8733,528,113.0343,28.1157,inf
1033,7,era2,Tianxin,1.813,0.5528,1.3492,529,112.9686,28.1392,inf
