grid_id,building_count,dominant_era,district,total_floor_area_m2,mean_solar_score,R5_savings_GWh,annual_pv_GWh,co2_avoided_kt,climate_delta,solar_score_norm,retrofit_score_norm,carbon_score_norm,climate_score_norm,integrated_score,rank_integrated,in_p1_priority,centroid_lon,centroid_lat
408,19,era3,Yuelu,9135.6200,35.3335,0.3347,0.0000,0.1909,0.0476,2.5300,8.0500,7.0000,83.6100,21.3000,627,False,112.8896,28.2802
829,25,era2,Tianxin,16929.2300,37.6576,1.5676,0.0000,0.8940,0.0558,4.3200,23.8500,19.0800,44.2600,21.1200,628,False,112.9432,28.1441
448,7,era3,Yuelu,6294.0000,38.6512,0.2053,0.0000,0.1171,0.0481,6.4100,5.9600,4.9200,81.6700,21.0300,629,False,112.8946,28.2756
854,7,era2,Kaifu,8680.4100,41.0386,0.5583,0.0000,0.3184,0.0545,13.5600,12.3700,9.3900,55.4400,20.7400,630,False,112.9452,28.2569
366,13,era3,Yuelu,7478.6400,36.4130,0.4088,0.0000,0.2331,0.0495,3.4300,9.6900,7.4500,76.3000,20.6900,631,False,112.8844,28.2758
1478,3,era2,Yuhua,4260.8900,41.1232,0.2049,0.0000,0.1169,0.0513,14.0100,5.8100,4.7700,68.8500,20.6700,632,False,113.0240,28.1114
239,14,era2,Yuelu,13687.1500,38.7928,0.9063,0.1075,0.5782,0.0549,6.7100,16.9900,14.6100,52.4600,20.5200,633,False,112.8688,28.2579
77,33,era2,Yuelu,13652.8800,34.3396,0.7299,0.0000,0.4163,0.0524,2.0900,15.2000,11.1800,65.1300,20.4500,634,False,112.8486,28.2672
34,15,era3,Yuelu,7185.9600,33.4006,0.2367,0.0000,0.1350,0.0474,1.4900,6.8600,5.2200,84.3500,20.4200,635,False,112.8433,28.2583
1533,3,era1,Furong,6564.1900,44.3985,0.6964,0.0000,0.3972,0.0562,45.1600,14.3100,11.0300,0.6700,20.1800,636,False,113.0303,28.1744
1408,10,era1,Tianxin,17449.0200,38.9951,2.1440,0.3288,1.4103,0.0562,7.1500,30.4000,26.5300,17.8800,20.1500,637,False,113.0149,28.1656
850,8,era2,Yuelu,11419.1500,41.6563,1.0837,0.0000,0.6180,0.0562,16.1000,18.9300,15.0500,31.3000,19.7800,638,False,112.9449,28.2388
799,2,era2,Yuelu,12199.5100,40.3750,0.8897,0.4718,0.7765,0.0561,10.8800,16.8400,17.7300,39.3400,19.7300,639,False,112.9390,28.1938
439,1,era3,Yuelu,94.5700,26.5130,0.0022,0.0000,0.0013,0.0462,0.8900,0.4500,0.4500,94.3400,19.3600,640,False,112.8939,28.2350
76,21,era2,Yuelu,11161.0800,35.5344,0.6460,0.0000,0.3684,0.0533,2.6800,13.8600,10.2800,61.1000,19.2400,641,False,112.8485,28.2627
1486,6,era2,Yuhua,5134.3000,35.2021,0.1928,0.1008,0.1674,0.0492,2.3800,5.3700,5.6600,77.9400,19.0500,642,False,113.0247,28.1474
407,12,era3,Yuelu,8458.9700,36.9412,0.5151,0.0000,0.2938,0.0527,3.8700,11.3300,8.4900,63.9300,19.0400,643,False,112.8895,28.2757
35,9,era3,Yuelu,5082.3100,35.6926,0.1879,0.0000,0.1072,0.0491,2.8300,5.2200,4.6200,78.0900,18.9600,644,False,112.8434,28.2628
547,3,era2,Yuelu,5985.8900,43.6542,0.4375,0.1085,0.3114,0.0562,33.2300,10.5800,9.2400,19.3700,18.8700,645,False,112.9080,28.1672
199,12,era3,Yuelu,6950.7700,36.4206,0.3239,0.0000,0.1847,0.0510,3.5800,7.9000,6.7100,70.1900,18.8200,646,False,112.8638,28.2625
879,3,era3,Tianxin,762.5700,29.8710,0.0179,0.0000,0.0102,0.0462,1.1900,0.8900,0.8900,89.4200,18.6900,647,False,112.9490,28.1846
610,3,era3,Yuelu,2450.8900,37.8883,0.1281,0.0000,0.0731,0.0522,4.4700,4.4700,3.7300,65.8700,16.6000,648,False,112.9148,28.2663
1448,7,era2,Tianxin,13577.2200,42.7681,0.9924,0.2829,0.7273,0.0562,23.4000,18.0300,16.8400,3.9500,16.5900,649,False,113.0199,28.1610
841,2,era2,Tianxin,1569.9900,38.5123,0.0779,0.0000,0.0444,0.0517,5.6600,2.8300,2.5300,67.6600,16.5800,650,False,112.9442,28.1982
673,5,era2,Yuelu,14641.6000,42.4831,1.2094,0.5426,0.9992,0.0562,21.0100,19.8200,19.8200,0.6700,16.3500,651,False,112.9235,28.1805
1687,1,era2,Yuhua,1712.6600,42.9928,0.1252,0.0000,0.0714,0.0562,25.0400,4.0200,3.2800,33.8300,16.1400,652,False,113.0498,28.1290
590,2,era2,Yuelu,4050.1400,42.9498,0.2960,0.1213,0.2380,0.0562,24.5900,7.4500,7.6000,25.0400,16.1400,652,False,112.9132,28.1761
591,21,era2,Yuelu,7671.3700,33.6596,0.5254,0.0000,0.2996,0.0553,1.6400,11.7700,8.7900,49.7800,15.7400,654,False,112.9133,28.1806
404,5,era2,Yuelu,4897.8600,39.8187,0.3580,0.0000,0.2042,0.0562,9.2400,8.4900,7.1500,38.6000,14.4700,655,False,112.8893,28.2622
278,2,era2,Yuelu,2951.4500,40.6772,0.2157,0.0000,0.1230,0.0562,11.7700,6.4100,5.0700,37.1100,13.8900,656,False,112.8738,28.2489
771,1,era2,Yuelu,1725.7100,43.0364,0.1261,0.0000,0.0719,0.0562,25.6300,4.1700,3.4300,14.2300,12.4700,657,False,112.9350,28.2525
834,1,era2,Tianxin,1849.0500,43.4325,0.1351,0.0000,0.0770,0.0562,29.6600,4.6200,3.8700,5.8900,12.2400,658,False,112.9436,28.1667
1579,4,era2,Furong,2110.9200,27.6359,0.1543,0.0000,0.0880,0.0562,1.0400,4.7700,4.1700,38.1500,10.2100,659,False,113.0358,28.1969
1252,5,era1,Furong,4702.5600,38.7973,0.5778,0.0000,0.3295,0.0562,6.8600,12.8200,9.8400,7.9700,9.4700,660,False,112.9952,28.2020
1570,2,era2,Yuhua,3046.3000,38.6108,0.2227,0.1095,0.1895,0.0562,6.2600,6.7100,6.8600,19.3700,9.1400,661,False,113.0351,28.1563
835,3,era2,Tianxin,1659.7100,23.6909,0.1213,0.0000,0.0692,0.0562,0.4500,3.8700,3.1300,32.1900,8.3600,662,False,112.9437,28.1712
1299,2,era1,Furong,2481.1300,41.1429,0.3049,0.0000,0.1739,0.0562,14.1600,7.6000,6.1100,1.7900,8.1100,663,False,113.0008,28.2290
237,1,era1,Yuelu,1035.2700,40.1058,0.1272,0.0000,0.0725,0.0562,10.2800,4.3200,3.5800,12.3700,7.5700,664,False,112.8687,28.2489
926,1,era1,Yuelu,59.1700,23.9225,0.0073,0.0000,0.0042,0.0562,0.6000,0.7500,0.7500,33.1600,7.1900,665,False,112.9546,28.2116
523,1,era2,Yuelu,742.9300,38.2050,0.0543,0.0000,0.0310,0.0562,5.3700,2.2400,2.2400,19.3700,6.6000,666,False,112.9042,28.2439
1316,2,era2,Tianxin,4606.1200,36.9865,0.3380,0.1777,0.2941,0.0562,4.0200,8.2000,8.6400,0.0000,5.3900,667,False,113.0038,28.1207
1181,1,era2,Kaifu,6.3200,13.0167,0.0005,0.0000,0.0003,0.0562,0.1500,0.1500,0.1500,26.0100,5.3200,668,False,112.9859,28.2518
954,1,era2,Tianxin,354.4700,33.9768,0.0259,0.0000,0.0148,0.0562,1.9400,1.2700,1.2700,17.8800,4.7900,669,False,112.9586,28.1529
1423,1,era2,Furong,9.4300,14.6712,0.0007,0.0000,0.0004,0.0562,0.3000,0.3000,0.3000,8.6400,1.9700,670,False,113.0161,28.2333
856,1,era2,Kaifu,68.1800,24.7002,0.0050,0.0000,0.0029,0.0562,0.7500,0.6000,0.6000,6.7800,1.8800,671,False,112.9454,28.2659
